"","2,4-D","4,4'-DDD","Acetamiprid","Alachlor","Atrazine","Azinphos ethyl","Bentazone","Chlorfenviphos","Chlorpyrifos","Chlortoluron","Diazinon","Dicofol","Diflufenican","Diuron","Fenthion oxon","Fenthion oxon sulfoxide","Fenthion sulfoxide","Imidacloprid","Cybutrine","Isoproturon","Linuron","Malaoxon","MCPA","Methiocarb","Metolachlor","Molinate","Oxadiazon","Pendimethalin","Propanil","Simazine","Terbuthylazine","Terbutryn","Thiacloprid","Triadimefon","Triallate"
"2,4-D",1,-0.098700439884423,-0.124365784584527,0.0457703880650866,0.059376072548755,-0.0248743109114208,0.194893708530034,0.237063379765604,0.177950590337209,-0.123799212822971,0.26065266921831,0.346700019765338,-0.0658165907725993,0.303174514389544,0.612244704577459,-0.0942382544940011,-0.0815707729349992,0.0958891988907246,-0.217783598434606,-0.098700439884423,-0.0361663675019659,-0.133884103760102,0.0434404559855437,-0.17152237641417,-0.301595528973695,0.4518847609288,0.356682531277883,0.147217322191455,0.152579388352173,0.604141839119012,-0.446504102779667,0.215625355650207,-0.0275825722853755,-0.195061219336479,-0.0638981632364592
"4,4'-DDD",-0.098700439884423,1,-0.0584712834738627,-0.085647630477825,0.112364147595141,-0.125406890342654,0.287360584009979,-0.0725765718899959,0.365508716223454,-0.0816368804474545,-0.370975909136486,0.242535625036333,-0.168488244926953,0.297670680743198,-0.133310496558116,-0.0970125146040403,-0.096109021894351,-0.093893188548309,0.289599046973015,-0.0588235294117647,-0.0850360424291773,-0.0983774946348774,0.0739225412817803,-0.0515379869561593,-0.0660647013023967,0.165137081924316,0.176531422342957,0.193476497487974,-0.129548780140689,0.401462249787396,0.0718823538961711,-0.147345142705815,-0.130528850747078,0.15349448828937,0.722045086140864
"Acetamiprid",-0.124365784584527,-0.0584712834738627,1,-0.159718950402891,-0.134344027906538,-0.0167110795302427,-0.073395636417684,-0.154607445297543,-0.417996623934328,-0.152282736345766,0.147504685606859,0.102592342086377,-0.0138266978126875,0.299430425982821,0.0611640586070666,0.00320788712122831,-0.125708978053439,-0.0920575301031105,0.357993977568974,-0.109727465959517,-0.151467227874061,-0.0620833730249472,-0.183201734151373,-0.0486518019012056,-0.102197833934689,-0.255661750880428,-0.11538487240355,0.170890742391339,-0.183724115696508,-0.241869877337277,0.170782012991667,0.0617221035419492,-0.231692585016357,0.0275047175513055,-0.000240035776449259
"Alachlor",0.0457703880650866,-0.085647630477825,-0.159718950402891,1,-0.115854038534762,0.329873287592024,-0.176356355839052,0.519511653805143,-0.358374438581774,-0.118864091288741,0.464433988687263,-0.0162266636559035,0.113850314664931,0.0695547555629753,0.26441276061857,0.7806927619921,-0.139935669877474,0.35850232938522,-0.395427433522883,-0.085647630477825,0.904458834004348,-0.143238588232977,0.131729185286616,0.406392635374167,0.283669708319122,-0.364319397652338,0.0387412396512167,-0.44267718089712,0.551156368054961,0.0308364998046822,-0.0905872974196687,0.505373129651018,0.689093200342295,-0.0305118966504182,-0.374727464981939
"Atrazine",0.059376072548755,0.112364147595141,-0.134344027906538,-0.115854038534762,1,-0.169635687820274,-0.141442462886721,-0.229064536083696,0.178479496250608,0.837489717389148,-0.222217631832894,0.328073660558384,-0.147825522262495,-0.198442037356947,-0.0331340464853985,-0.1312271167642,-0.130004978117512,-0.16784080697382,0.223850339100891,-0.0795695503214853,-0.115026754172543,-0.133073501167476,-0.158011344601002,-0.268710348554835,0.270606620392702,-0.126171426439829,-0.169245523488824,0.261712244349199,-0.156959867517145,0.0134629579881647,0.224211509846676,-0.032831791397457,-0.171085567429985,-0.220761732793691,0.23537075062372
"Azinphos ethyl",-0.0248743109114208,-0.125406890342654,-0.0167110795302427,0.329873287592024,-0.169635687820274,1,-0.175266343246837,0.788356895399553,-0.343344645527495,-0.174043064341235,0.605610614273391,-0.0710781410449872,0.517068002194929,0.143312604228205,-0.18280952519412,-0.0627459792175803,0.0531491409782605,0.434499757192682,0.00355775364830442,0.308827865640832,0.097837478342014,0.5091141352313,0.167293785937242,0.764349939641951,0.0594411070239348,-0.184348821130354,-0.0585712323685251,-0.044949292476658,0.445974359144497,-0.231866879566788,-0.128770984709931,0.672722788170305,0.0256172240247647,-0.291815349532796,-0.28596800921512
"Bentazone",0.194893708530034,0.287360584009979,-0.073395636417684,-0.176356355839052,-0.141442462886721,-0.175266343246837,1,-0.0545115855429136,0.372686849140644,-0.31967009593368,-0.142321796360417,0.11497841118523,-0.0405900482124502,0.53331506910306,-0.0972138953703949,-0.276637193408781,-0.150028991911998,-0.0214899668715626,-0.0358494098811974,-0.219230463800251,-0.20018589174799,-0.263869300630307,0.487223594267771,-0.189715032497512,-0.358677361710519,0.455617803623814,0.0502140535118915,-0.109451114038989,0.145430777091038,0.0458148199636563,-0.370345770135691,-0.302158143519773,-0.296935900459447,-0.0701333065056792,0.318704265480739
"Chlorfenviphos",0.237063379765604,-0.0725765718899959,-0.154607445297543,0.519511653805143,-0.229064536083696,0.788356895399553,-0.0545115855429136,1,-0.373815006140677,-0.284553972292176,0.843638529311724,-0.275855827647418,0.545573737783915,0.356738432761973,0.272232265815726,0.214804357691335,0.182199682976054,0.515126436801247,-0.315172673672694,0.203068354854464,0.367754072695308,0.422463374315019,0.211884071337594,0.802345398806479,-0.0661583941988715,-0.0501454546350029,0.268431159687275,-0.185099039099077,0.453997850052559,0.100859057989925,-0.357105984994724,0.84632491858661,0.22933057962561,-0.0922515067465154,-0.424251283552588
"Chlorpyrifos",0.177950590337209,0.365508716223454,-0.417996623934328,-0.358374438581774,0.178479496250608,-0.343344645527495,0.372686849140644,-0.373815006140677,1,0.038780188420607,-0.498480455830481,0.276017740360029,-0.115868844798415,-0.0337438689748555,-0.16687526890437,-0.403238209320321,-0.358428985744825,-0.109899977448321,0.387209749156127,-0.32811949056585,-0.382284200507672,-0.412199570290207,-0.124746852746067,-0.309251116386279,-0.0699596267779494,0.233251596630377,0.0326976366211917,0.450567174714215,-0.298675282959663,0.23668005427241,-0.0680087082015822,-0.520218562604353,-0.279459886239705,-0.214926555888915,0.738436524941614
"Chlortoluron",-0.123799212822971,-0.0816368804474545,-0.152282736345766,-0.118864091288741,0.837489717389148,-0.174043064341235,-0.31967009593368,-0.284553972292176,0.038780188420607,1,-0.247957611575372,0.101989697796663,-0.160700510279456,-0.433422907352403,-0.185011902188397,-0.134636583962829,-0.0572887479724245,-0.207905980800742,0.0691013806975345,-0.0816368804474545,-0.118015312901762,-0.136530940059869,-0.240775710504599,-0.229774229298514,0.528676090723096,-0.347258866881706,-0.370076939002511,0.027887556838409,-0.18339822853374,-0.243231666735065,0.395266740822502,-0.0756866937460539,0.126545684176248,-0.117635872673311,0.00207451284501664
